#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
170.0,Saint Lucia,25054,97.0,370.0,,23944.0,186.0,740.0,1.0,135273.0,1998.0,143281.0,773610.0,185211.0,7.0,501.0,1.0,524.0,,3995.0
171.0,Cayman Islands,24477,,28.0,,8553.0,,15896.0,1.0,364360.0,417.0,222773.0,3316160.0,67178.0,3.0,2399.0,0.0,,,236625.0
172.0,Congo,24079,,385.0,,20178.0,,3516.0,,4170.0,67.0,347815.0,60235.0,5774299.0,240.0,14998.0,17.0,,,609.0
173.0,Timor-Leste,22890,,131.0,,22748.0,,11.0,,16759.0,96.0,265125.0,194114.0,1365822.0,60.0,10426.0,5.0,,,8.0
174.0,Burkina Faso,20853,,382.0,,20439.0,,32.0,,949.0,17.0,248995.0,11326.0,21984443.0,1054.0,57551.0,88.0,,,1.0
175.0,Nicaragua,18491,,225.0,,4225.0,,14041.0,,2730.0,33.0,,,6773276.0,366.0,30103.0,,,,2073.0
176.0,Gibraltar,18273,,102.0,,16579.0,,1592.0,,542676.0,3029.0,534283.0,15867278.0,33672.0,2.0,330.0,0.0,,,47280.0
177.0,Solomon Islands,18174,,146.0,,16357.0,,1671.0,2.0,25289.0,203.0,5117.0,7120.0,718659.0,40.0,4922.0,140.0,,,2325.0
178.0,South Sudan,17573,,138.0,,13514.0,,3921.0,1.0,1536.0,12.0,395064.0,34529.0,11441362.0,651.0,82908.0,29.0,,,343.0
179.0,Liechtenstein,17407,2.0,84.0,,17282.0,9.0,41.0,,454088.0,2191.0,102174.0,2665362.0,38334.0,2.0,456.0,0.0,52.0,,1070.0
180.0,Tajikistan,17388,,124.0,,17264.0,,0.0,,1749.0,12.0,,,9941774.0,572.0,80176.0,,,,
181.0,Grenada,17234,,223.0,,15969.0,,1042.0,4.0,151832.0,1965.0,161503.0,1422846.0,113507.0,7.0,509.0,1.0,,,9180.0
182.0,San Marino,17021,30.0,115.0,,16723.0,43.0,183.0,4.0,499648.0,3376.0,152231.0,4468708.0,34066.0,2.0,296.0,0.0,881.0,,5372.0
183.0,Equatorial Guinea,15910,,183.0,,15704.0,,23.0,5.0,10678.0,123.0,320949.0,215414.0,1489917.0,94.0,8142.0,5.0,,,15.0
184.0,Djibouti,15631,,189.0,,15427.0,,15.0,,15398.0,186.0,305941.0,301387.0,1015110.0,65.0,5371.0,3.0,,,15.0
185.0,CAR,14649,,113.0,,6859.0,,7677.0,2.0,2937.0,23.0,81294.0,16297.0,4988203.0,341.0,44143.0,61.0,,,1539.0
186.0,Bermuda,14442,,137.0,,13945.0,,360.0,,233523.0,2215.0,903163.0,14603890.0,61844.0,4.0,451.0,0.0,,,5821.0
187.0,Dominica,13752,636.0,63.0,,13188.0,723.0,501.0,,190147.0,871.0,199138.0,2753453.0,72323.0,5.0,1148.0,0.0,8794.0,,6927.0
188.0,Samoa,12382,,25.0,,1605.0,,10752.0,4.0,61632.0,124.0,98999.0,492773.0,200902.0,16.0,8036.0,2.0,,,53519.0
189.0,Monaco,12124,15.0,57.0,,12009.0,26.0,58.0,4.0,304876.0,1433.0,54960.0,1382050.0,39767.0,3.0,698.0,1.0,377.0,,1458.0
190.0,Gambia,11999,,365.0,,11591.0,,43.0,,4715.0,143.0,155686.0,61180.0,2544730.0,212.0,6972.0,16.0,,,17.0
191.0,Greenland,11971,,21.0,,2761.0,,9189.0,4.0,210180.0,369.0,164926.0,2895674.0,56956.0,5.0,2712.0,0.0,,,161335.0
192.0,Yemen,11819,,2149.0,,9042.0,,628.0,23.0,380.0,69.0,265253.0,8539.0,31065205.0,2628.0,14456.0,117.0,,,20.0
193.0,Tonga,11500,,11.0,,10875.0,,614.0,,106526.0,102.0,535009.0,4955852.0,107955.0,9.0,9814.0,0.0,,,5688.0
194.0,Saint Martin,10668,66.0,63.0,,1399.0,,9206.0,7.0,267301.0,1579.0,112382.0,2815886.0,39910.0,4.0,633.0,0.0,1654.0,,230669.0
195.0,Sint Maarten,10189,,86.0,,10068.0,,35.0,10.0,232657.0,1964.0,62056.0,1416998.0,43794.0,4.0,509.0,1.0,,,799.0
196.0,Caribbean Netherlands,10044,58.0,35.0,,9959.0,73.0,50.0,,376419.0,1312.0,30126.0,1129033.0,26683.0,3.0,762.0,1.0,2174.0,,1874.0
